Threshold (dB SPL): 55
Frequency (kHz): 32.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.95015586+0.j, -0.5033507 +0.j]), k: 0.7391308082355769
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.054630	0.025800	1.52	0.15	2.04	-0.26	2.64	0.16	3.04	-0.04	3.40	0.24	3.96	-0.11	4.32	0.24	4.96	-0.30	5.64	0.07	6.80	-0.17
95.00	0.023229	0.023504	1.48	0.16	2.16	-0.19	2.76	0.07	3.04	-0.02	3.36	0.21	3.84	-0.08	4.28	0.20	4.88	-0.18	6.04	0.06	6.68	-0.18	0.820
90.00	0.019028	0.010013	1.56	0.17	2.04	-0.25	2.68	0.07	3.04	-0.05	3.48	0.20	3.96	-0.06	4.28	0.12	5.24	-0.13	6.36	0.05	6.88	-0.09	0.843
85.00	-0.014207	0.014916	1.56	0.12	2.08	-0.15	2.36	-0.02	3.04	-0.03	3.56	0.20	3.96	-0.02	4.32	0.16	5.12	-0.20	6.20	0.02	6.60	-0.07	0.709
80.00	0.000304	0.010657	1.64	0.15	2.08	-0.16	2.92	0.06	3.24	0.05	3.52	0.16	3.92	-0.04	4.32	0.13	5.24	-0.11	5.80	0.05	6.68	0.00	0.689
75.00	-0.013655	0.014732	1.44	0.07	2.08	-0.22	2.56	0.04	3.20	-0.03	3.68	0.14	4.04	-0.03	4.44	0.15	5.36	-0.13	5.76	0.04	6.40	-0.09	0.658
70.00	0.043069	0.015874	1.56	0.08	2.08	-0.19	3.04	0.07	3.64	0.08	3.56	0.11	4.04	-0.06	4.36	0.10	5.20	-0.19	5.72	0.06	6.88	-0.05	0.670
65.00	-0.006475	0.003894	1.76	0.07	2.04	-0.15	3.00	0.09	3.28	0.01	3.00	0.09	3.60	0.02	3.76	0.07	5.40	-0.14	5.80	-0.02	7.00	-0.03	0.506
60.00	-0.010908	0.011458	1.80	0.07	2.08	-0.15	3.04	0.05	3.32	-0.01	3.04	0.05	3.36	-0.02	3.88	0.03	5.32	-0.10	6.12	0.05	6.84	-0.05	0.473
55.00	-0.007045	0.011063	1.88	0.08	2.16	-0.11	3.52	0.09	3.68	0.01	3.52	0.09	3.68	0.01	3.52	0.09	5.44	-0.08	6.24	0.05	6.96	-0.00	0.396
50.00	-0.021337	0.023855	-1.72	0.07	-2.24	-0.09	-3.72	0.16	-3.96	0.05	-3.72	0.16	-3.96	0.05	-3.72	0.16	-5.24	-0.02	-6.80	0.02	-7.48	0.01	0.414
45.00	-0.015588	0.006756	-1.80	0.04	-2.36	-0.09	-3.40	0.05	-3.56	-0.04	-3.40	0.05	-3.56	-0.04	-3.40	0.05	-4.92	-0.02	-6.52	0.03	-7.92	-0.08	0.156
40.00	-0.013361	0.013964	-2.08	0.01	-2.36	-0.09	-3.72	0.04	-3.88	-0.04	-3.72	0.04	-3.88	-0.04	-3.72	0.04	-4.52	-0.03	-6.68	0.06	-8.24	-0.02	0.127
35.00	-0.015357	0.021326	-1.92	0.07	-2.28	-0.04	-3.56	0.08	-3.72	0.01	-3.56	0.08	-3.72	0.01	-3.56	0.08	-4.52	-0.04	-7.20	0.08	-8.40	-0.00	-0.029
30.00	-0.031298	0.025449	-2.24	0.01	-2.56	-0.04	-3.08	0.04	-3.32	-0.05	-3.08	0.04	-3.32	-0.05	-3.08	0.04	-4.48	-0.04	-7.40	0.08	-8.20	-0.05	-0.191
