Threshold (dB SPL): 40
Frequency (kHz): 16.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.016017	0.025290	1.12	0.30	1.68	-0.16	2.04	1.10	2.44	-0.60	2.80	0.45	3.20	-0.80	3.72	0.29	4.08	-0.29	4.92	0.31	5.44	-0.08
95.00	-0.055719	0.018090	1.16	0.20	1.52	-0.15	2.08	1.00	2.44	-0.50	2.80	0.33	3.24	-0.61	3.76	0.25	4.16	-0.32	4.96	0.30	5.44	-0.11	0.972
90.00	-0.020158	0.008690	1.12	0.17	1.52	-0.18	2.08	0.74	2.44	-0.47	2.80	0.43	3.20	-0.63	3.80	0.09	4.16	-0.21	5.00	0.29	5.56	-0.06	0.960
85.00	-0.045111	0.005121	1.12	0.20	1.60	-0.21	2.08	0.63	2.48	-0.41	2.84	0.41	3.24	-0.53	3.80	0.22	4.28	-0.25	4.84	0.23	5.60	-0.06	0.945
80.00	-0.045216	0.008357	1.24	0.18	1.64	-0.25	2.08	0.58	2.52	-0.41	2.88	0.27	3.28	-0.45	3.80	0.22	4.24	-0.25	4.88	0.28	5.68	-0.04	0.952
75.00	0.050568	0.044526	1.20	0.15	1.64	-0.16	2.12	0.65	2.52	-0.32	2.92	0.25	3.32	-0.37	3.88	0.18	4.28	-0.18	4.92	0.22	5.48	-0.02	0.926
70.00	-0.020694	0.020370	1.28	0.12	1.72	-0.14	2.16	0.50	2.56	-0.30	2.96	0.21	3.40	-0.33	3.96	0.13	4.32	-0.13	5.20	0.20	6.00	-0.03	0.889
65.00	-0.068954	0.029253	1.28	0.11	1.84	-0.10	2.20	0.38	2.60	-0.18	2.96	0.08	3.36	-0.22	3.96	0.11	4.32	-0.16	5.08	0.20	5.60	-0.05	0.883
60.00	0.019907	0.010537	1.40	0.09	1.76	-0.10	2.24	0.36	2.64	-0.17	3.04	0.11	3.36	-0.15	3.92	0.06	4.36	-0.16	5.12	0.22	5.56	0.04	0.833
55.00	-0.042375	0.018045	1.36	0.14	1.84	-0.05	2.28	0.29	2.64	-0.10	2.96	0.12	3.48	-0.14	4.08	0.10	4.48	-0.11	5.08	0.16	5.48	0.04	0.844
50.00	0.038670	0.029402	1.40	0.10	1.96	-0.05	2.32	0.24	2.76	-0.02	3.00	0.10	3.72	-0.13	4.08	0.08	4.44	-0.04	5.16	0.12	5.76	0.01	0.629
45.00	0.039254	0.019646	1.52	0.01	1.80	-0.05	2.32	0.19	2.72	-0.02	3.00	0.07	3.48	-0.12	4.04	0.06	4.68	-0.11	5.12	0.12	5.96	-0.06	0.710
40.00	-0.062675	0.022518	1.28	0.05	1.92	-0.06	2.44	0.04	2.68	-0.03	3.08	0.04	3.72	-0.03	4.08	0.08	4.60	-0.09	5.56	0.07	6.08	-0.06	0.223
35.00	-0.007486	0.009493	-1.24	0.02	-2.08	0.00	-2.48	0.12	-3.00	-0.05	-3.32	0.01	-3.92	-0.03	-4.44	0.08	-4.76	-0.04	-5.68	0.09	-5.92	0.02	0.153
30.00	0.074173	0.037661	-1.24	-0.01	-1.88	-0.03	-2.56	0.09	-3.12	-0.03	-3.48	0.07	-3.92	0.01	-4.36	0.08	-5.12	0.02	-5.68	-0.06	-8.32	-0.08	-0.253
25.00	-0.027435	0.019933	-1.16	0.02	-1.72	-0.03	-2.68	0.08	-3.08	-0.02	-3.40	0.05	-3.88	0.00	-4.84	-0.01	-5.04	-0.05	-5.68	-0.03	-8.32	-0.13	0.401
20.00	-0.005365	0.011787	-1.44	0.05	-1.84	-0.00	-2.68	0.02	-2.88	-0.02	-3.68	0.07	-4.24	-0.01	-4.72	0.03	-4.92	-0.00	-6.00	-0.00	-8.32	0.07	0.046
