Threshold (dB SPL): 40.00
Frequency (kHz): 32.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	-0.047998	0.015525	1.00	0.32	1.52	-0.31	1.84	0.82	2.24	-0.63	2.60	-0.03	2.92	-0.67	3.28	0.19	3.64	-0.38	4.20	0.60	5.20	-0.05
95.00	-0.040431	0.005331	1.00	0.33	1.52	-0.20	1.80	0.84	2.28	-0.37	2.56	-0.08	2.92	-0.57	3.32	0.26	3.68	-0.40	4.28	0.55	5.20	-0.07	0.945
90.00	-0.038986	0.005722	1.00	0.32	1.52	-0.29	1.84	0.77	2.28	-0.29	2.56	-0.10	2.96	-0.49	3.36	0.25	3.68	-0.34	4.28	0.44	5.16	-0.04	0.966
85.00	-0.060012	0.010052	1.04	0.23	1.52	-0.26	1.84	0.68	2.36	-0.21	2.56	-0.13	2.92	-0.43	3.36	0.23	3.72	-0.25	4.28	0.42	5.28	-0.03	0.955
80.00	-0.058208	0.013150	1.04	0.21	1.52	-0.14	1.88	0.55	2.56	-0.21	2.68	-0.21	2.96	-0.39	3.36	0.16	3.72	-0.30	4.36	0.36	5.16	-0.08	0.949
75.00	-0.045027	0.015915	1.08	0.23	1.52	-0.06	1.88	0.39	2.52	-0.16	2.72	-0.15	3.04	-0.33	3.36	0.15	3.72	-0.29	4.44	0.29	5.04	-0.06	0.939
70.00	-0.026651	0.006090	1.08	0.13	1.52	-0.09	1.88	0.36	2.56	-0.08	2.64	-0.08	3.00	-0.22	3.40	0.13	3.72	-0.26	4.48	0.30	5.28	-0.03	0.884
65.00	-0.003161	0.006252	1.08	0.14	1.52	-0.08	1.84	0.34	2.52	-0.15	2.68	-0.09	2.96	-0.17	3.44	0.07	3.80	-0.25	4.48	0.31	5.76	-0.05	0.907
60.00	-0.033014	0.010385	1.04	0.14	1.32	-0.01	1.92	0.21	2.64	-0.11	2.80	-0.06	3.04	-0.16	3.48	0.15	3.92	-0.14	4.52	0.25	5.64	-0.08	0.880
55.00	0.005314	0.008335	1.16	0.08	1.36	-0.00	1.92	0.21	2.64	-0.02	2.68	-0.02	3.04	-0.22	3.56	0.09	3.88	-0.18	4.48	0.14	5.72	-0.07	0.837
50.00	0.050904	0.020824	1.32	0.09	1.64	-0.01	1.92	0.15	2.68	-0.06	2.92	-0.03	3.20	-0.08	3.60	0.09	3.92	-0.12	4.60	0.18	5.68	-0.00	0.780
45.00	-0.023595	0.021238	1.20	0.04	1.64	-0.05	2.00	0.13	2.72	-0.02	2.84	-0.04	3.20	-0.17	3.64	0.08	4.00	-0.18	4.76	0.18	5.68	-0.01	0.776
40.00	0.017171	0.012498	1.36	0.12	1.72	-0.04	2.00	0.11	2.76	-0.00	2.88	0.03	3.20	-0.12	3.80	0.03	4.16	-0.13	4.72	0.15	5.96	-0.03	0.587
35.00	0.000998	0.015504	-1.44	0.06	-1.80	-0.03	-2.08	0.08	-2.36	0.02	-2.76	0.06	-3.24	-0.02	-3.80	-0.03	-4.20	-0.11	-4.92	0.09	-7.24	-0.02	0.550
30.00	-0.001632	0.009222	-1.36	0.04	-1.80	-0.04	-2.48	0.07	-2.96	-0.05	-3.24	-0.02	-3.36	-0.03	-3.56	0.01	-4.44	-0.02	-5.00	0.05	-7.16	-0.01	0.416
